field_1,lfenzid,lake_name,site,indicator,indicator_name,measurement,value,units,tli_band,nof_band,max_nof_band,national_bottom_line,max_national_bottom_line,lake_category,lake_type,lake_volume,nzsegment,lat,long,region,depth_bin,human_modified,period,n_leftcensored,n_rightcensored,dl,al,imputed_lower,imputed_upper,n_values,n_month,n_qtr,n_years,filter_ok,incl_ineq
30,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,80th,0.015,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.015
31,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,95th,0.02175,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.02175
32,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,Annual maximum,0.024,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.024
33,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,5th,0.79352,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,<3
34,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,20th,1.49776,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,<3
35,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,25th,1.71785,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,<3
36,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,Median,2.25,mg/m3,NA,B,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,<3
37,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,75th,3.1,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,3.1
38,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,80th,3.37,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,3.37
39,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,95th,5.98,mg/m3,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,5.98
40,0,Lake Rototoa,ARC-00100,CHLA,Chlorophyll-a,Annual maximum,9,mg/m3,NA,A,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,10,0,3,NA,Imputed,No censored - no imputation required,32,31,20,5,TRUE,9
41,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,5th,1,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,1
42,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,20th,1.6,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,1.6
43,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,25th,2,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,2
44,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,Median,5,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,5
45,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,75th,10,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,10
46,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,80th,10,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,10
47,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,95th,10,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,10
48,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,G540,0,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,G260,0,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0,Lake Rototoa,ARC-00100,ECOLI,E. coli,Annual maximum,10,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,31,30,18,5,TRUE,10
51,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,5th,0.005,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.005
52,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,20th,0.005,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.005
53,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,25th,0.005,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.005
54,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,Median,0.005,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.005
55,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,75th,0.02175,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.02175
56,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,80th,0.0294,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.0294
57,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,95th,0.0627,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.0627
58,0,Lake Rototoa,ARC-00100,NH4N,Ammoniacal nitrogen,Annual maximum,0.27,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,33,32,20,5,TRUE,0.27
59,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),5th,0.005,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.005
60,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),20th,0.005,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.005
61,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),25th,0.005,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.005
62,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),Median,0.005,mg/L,NA,A,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.005
63,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),75th,0.021,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.021
64,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),80th,0.0275,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.0275
65,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),95th,0.063,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.063
66,0,Lake Rototoa,ARC-00100,NH4N_adj,Ammoniacal nitrogen (adjusted),Annual maximum,0.27,mg/L,NA,B,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,Imputed,No censored - no imputation required,30,29,20,5,TRUE,0.27
67,0,Lake Rototoa,ARC-00100,CLAR,Clarity,5th,2.07,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,2.07
68,0,Lake Rototoa,ARC-00100,CLAR,Clarity,20th,2.94,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,2.94
69,0,Lake Rototoa,ARC-00100,CLAR,Clarity,25th,3.15,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,3.15
70,0,Lake Rototoa,ARC-00100,CLAR,Clarity,Median,3.875,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,3.875
71,0,Lake Rototoa,ARC-00100,CLAR,Clarity,75th,5.17,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,5.17
72,0,Lake Rototoa,ARC-00100,CLAR,Clarity,80th,5.659,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,5.659
73,0,Lake Rototoa,ARC-00100,CLAR,Clarity,95th,7.325,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,7.325
74,0,Lake Rototoa,ARC-00100,CLAR,Clarity,Annual maximum,7.85,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,24,24,16,5,TRUE,7.85
75,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,5th,2.63367,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,2.63367
76,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,20th,2.91929,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,2.91929
77,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,25th,2.94309,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,2.94309
78,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,Median,3.12965,NA,Mesotrophic (average),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,3.12965
79,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,75th,3.34801,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,3.34801
80,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,80th,3.43716,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,3.43716
81,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,95th,3.80277,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,3.80277
82,0,Lake Rototoa,ARC-00100,TLI3,Trophic level index 3,Annual maximum,3.84378726,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,2033094,-36.51378,174.23866,Auckland,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,32,31,20,5,TRUE,3.84378726
